,voice_mail_plan,voice_mail_messages,international_mins,customer_service_calls,international_plan,international_calls,international_charge,total_charge,churn
157,0,0,10.9,2,0,3,2.94,72.09,0
158,0,0,9.0,1,0,3,2.43,52.02,0
159,0,0,9.1,1,0,3,2.46,68.3,0
160,0,0,8.9,0,0,4,2.4,45.54,0
161,0,0,9.5,1,0,2,2.57,51.06,0
162,0,0,8.8,2,0,4,2.38,64.01,0
163,0,0,13.4,0,0,2,3.62,51.02,0
164,1,23,9.5,1,0,4,2.57,71.31,0
165,1,23,6.8,1,0,6,1.84,58.69,0
166,0,0,9.7,0,0,8,2.62,55.33,0
167,0,0,13.0,0,0,3,3.51,43.73,0
168,1,24,13.1,3,0,5,3.54,58.3,0
169,0,0,11.2,2,0,1,3.02,72.94,0
170,0,0,6.4,3,0,8,1.73,65.25,0
171,0,0,6.8,2,0,3,1.84,50.68,0
172,0,0,9.4,1,0,4,2.54,59.3,0
173,1,36,12.1,1,0,2,3.27,47.81,0
174,0,0,13.7,2,0,8,3.7,60.37,0
175,0,0,10.8,3,0,5,2.92,61.89,0
176,0,0,12.2,3,0,5,3.29,64.26,0
177,0,0,15.8,3,0,7,4.27,72.33,0
178,0,0,11.6,1,0,10,3.13,65.82,0
179,0,0,11.9,0,1,11,3.21,67.6,0
180,1,24,10.7,1,0,3,2.89,55.56,0
181,1,31,12.2,1,0,6,3.29,52.5,0
182,0,0,11.5,3,0,6,3.11,58.9,0
183,0,0,10.9,0,0,3,2.94,52.28,0
184,0,0,4.7,3,0,7,1.27,62.87,0
185,0,0,7.1,0,0,12,1.92,57.68,0
186,0,0,12.2,3,0,6,3.29,57.02,0
187,1,22,10.2,1,0,6,2.75,56.82,0
188,0,0,4.4,1,0,2,1.19,57.44,0
189,0,0,8.9,2,0,6,2.4,56.21,0
190,0,0,13.8,2,0,1,3.73,39.77,0
191,0,0,2.7,1,0,4,0.73,68.19,0
192,0,0,7.7,3,0,2,2.08,68.02,0
193,1,27,9.6,2,0,3,2.59,53.8,0
194,1,23,13.3,4,0,3,3.59,76.12,0
195,1,22,11.9,0,0,3,3.21,70.6,0
196,1,36,11.0,1,1,6,2.97,70.45,0
197,0,0,13.5,3,0,2,3.65,64.77,0
198,0,0,10.9,0,0,2,2.94,57.31,0
199,0,0,9.0,1,1,5,2.43,62.78,0
200,1,40,9.0,2,0,9,2.43,57.54,0
201,0,0,9.8,3,0,7,2.65,41.04,0
202,0,0,10.7,0,0,9,2.89,37.58,0
203,0,0,9.4,1,0,6,2.54,55.83,0
204,0,0,12.9,0,0,5,3.48,57.21,0
205,0,0,8.4,1,0,2,2.27,73.26,0
206,0,0,7.1,3,0,2,1.92,63.95,0
207,0,0,9.5,0,0,5,2.57,44.57,0
208,0,0,10.2,0,0,5,2.75,64.74,0
209,0,0,9.2,4,0,2,2.48,61.66,0
210,1,23,11.8,2,0,4,3.19,63.28,0
211,0,0,14.4,4,0,7,3.89,62.48,0
212,0,0,9.1,3,0,8,2.46,65.21,0
213,1,41,9.5,0,0,3,2.57,53.01,0
214,0,0,10.9,0,1,3,2.94,58.6,0
215,1,32,14.1,4,0,8,3.81,58.2,0
216,0,0,9.8,1,0,3,2.65,51.28,0
217,0,0,14.5,1,0,8,3.92,48.26,0
218,0,0,8.7,1,0,4,2.35,56.35,0
219,1,25,6.7,1,0,9,1.81,58.03,0
220,0,0,15.4,1,0,1,4.16,49.27,0
221,0,0,11.5,1,0,3,3.11,53.76,0
222,0,0,12.5,1,0,1,3.38,61.64,0
223,0,0,8.3,2,0,6,2.24,69.98,0
224,1,30,11.4,1,0,6,3.08,73.35,0
225,1,28,8.4,4,0,9,2.27,67.53,0
226,0,0,13.5,3,0,6,3.65,53.53,0
227,0,0,9.9,2,1,3,2.67,53.1,0
228,0,0,14.6,0,0,3,3.94,69.43,0
229,0,0,7.7,1,0,3,2.08,49.32,0
230,1,28,8.0,3,0,13,2.16,67.88,0
231,0,0,13.0,3,0,3,3.51,65.35,0
232,1,28,10.0,1,0,3,2.7,55.71,0
233,0,0,9.8,3,0,5,2.65,65.5,0
234,0,0,11.1,0,1,4,3.0,67.04,0
235,1,25,10.9,2,0,6,2.94,66.34,0
236,0,0,10.5,3,1,6,2.84,66.23,0
237,0,0,13.0,2,0,4,3.51,56.06,0
238,0,0,10.4,2,0,6,2.81,63.17,0
239,1,37,12.2,1,0,1,3.29,59.35,0
240,1,28,9.0,1,0,2,2.43,75.42,0
241,0,0,6.7,3,0,5,1.81,63.54,0
242,1,24,15.6,2,0,3,4.21,55.56,0
243,0,0,8.8,2,0,5,2.38,57.1,0
244,0,0,14.5,2,0,4,3.92,69.76,0
245,0,0,14.1,0,0,5,3.81,61.83,0
246,1,34,8.0,0,0,2,2.16,73.48,0
247,0,0,9.7,0,0,3,2.62,36.14,0
248,0,0,5.9,1,0,4,1.59,54.79,0
249,1,18,9.8,1,0,3,2.65,55.03,0
250,0,0,9.5,1,0,5,2.57,62.33,0
251,0,0,10.1,2,0,5,2.73,44.76,0
252,0,0,11.9,0,0,1,3.21,56.49,0
253,0,0,6.6,4,0,9,1.78,66.33,0
254,0,0,6.6,1,0,5,1.78,62.58,0
255,0,0,11.9,2,0,4,3.21,50.57,0
256,0,0,9.1,1,0,4,2.46,65.03,0
257,0,0,10.3,1,0,10,2.78,49.61,0
258,0,0,9.1,2,0,5,2.46,71.24,0
259,0,0,11.4,0,0,2,3.08,60.56,0
260,0,0,8.9,3,0,4,2.4,71.24,0
261,1,38,9.7,1,0,6,2.62,67.7,0
262,0,0,10.9,0,0,3,2.94,62.2,0
263,0,0,9.8,0,0,4,2.65,51.71,0
264,0,0,18.9,0,0,2,5.1,55.29,0
265,1,28,7.7,2,0,4,2.08,52.85,0
266,1,29,7.6,3,0,3,2.05,50.55,0
267,1,21,5.0,3,0,5,1.35,71.16,0
268,0,0,6.2,0,0,3,1.67,66.6,0
269,1,32,12.9,1,0,3,3.48,50.33,0
270,0,0,10.0,0,0,3,2.7,58.69,0
271,0,0,11.3,1,0,4,3.05,50.0,0
272,0,0,13.4,3,0,5,3.62,63.01,0
273,1,30,7.1,0,0,3,1.92,37.43,0
274,1,35,11.4,1,0,4,3.08,41.42,0
275,1,33,9.5,1,0,4,2.57,70.28,0
276,0,0,12.5,0,0,3,3.38,64.02,0
277,0,0,14.4,0,0,12,3.89,62.81,0
278,0,0,7.9,3,0,2,2.13,67.25,0
279,0,0,9.3,0,0,4,2.51,63.07,0
280,0,0,7.5,1,0,4,2.03,59.73,0
281,1,17,8.6,1,0,4,2.32,58.2,0
282,0,0,10.6,0,0,2,2.86,62.36,0
283,0,0,7.0,2,0,7,1.89,63.53,0
284,0,0,7.6,2,0,3,2.05,74.02,0
285,0,0,14.6,0,0,2,3.94,67.04,0
286,0,0,10.8,1,0,11,2.92,68.31,0
287,1,34,14.0,0,0,7,3.78,65.48,0
288,1,37,13.3,1,0,3,3.59,44.43,0
289,0,0,7.2,3,0,8,1.94,67.48,0
290,1,33,12.2,1,0,5,3.29,52.98,0
291,0,0,10.5,1,0,11,2.84,61.93,0
292,1,41,13.1,3,0,5,3.54,49.58,0
293,0,0,11.3,4,0,8,3.05,61.83,0
294,0,0,5.3,1,0,3,1.43,46.7,0
295,0,0,14.7,2,0,9,3.97,61.44,0
296,0,0,12.7,1,0,2,3.43,48.03,0
297,0,0,11.3,1,1,4,3.05,69.95,0
298,1,23,8.5,2,0,2,2.3,49.94,0
299,1,29,5.8,1,0,4,1.57,57.62,0
300,0,0,11.3,0,0,6,3.05,50.86,0
301,1,36,12.0,1,0,5,3.24,57.07,0
302,0,0,11.3,2,0,3,3.05,64.85,0
303,0,0,10.9,0,0,2,2.94,57.33,0
304,0,0,9.1,4,0,3,2.46,63.56,0
305,0,0,18.0,1,0,3,4.86,51.17,0
306,0,0,7.6,1,0,5,2.05,42.57,0
307,0,0,16.0,0,0,2,4.32,67.75,0
308,0,0,10.3,1,0,6,2.78,65.42,0
309,0,0,10.6,2,0,6,2.86,65.43,0
310,0,0,14.8,2,0,2,4.0,59.09,0
311,0,0,9.2,2,0,6,2.48,63.31,0
312,1,21,10.6,0,0,5,2.86,60.59,0
313,0,0,11.2,2,0,7,3.02,50.52,0
314,0,0,6.7,1,0,18,1.81,65.18,0
315,0,0,6.8,2,0,4,1.84,63.56,0
316,0,0,14.7,3,0,2,3.97,71.21,0
317,0,0,14.7,1,0,4,3.97,53.75,0
318,0,0,5.7,0,1,4,1.54,55.05,0
319,0,0,7.2,2,0,4,1.94,58.52,0
320,0,0,10.7,4,0,7,2.89,69.96,0
321,0,0,8.9,3,0,1,2.4,65.09,0
322,0,0,8.5,1,0,5,2.3,61.22,0
323,0,0,10.7,1,0,3,2.89,49.87,0
324,0,0,10.2,3,0,6,2.75,57.27,0
325,0,0,11.1,1,0,2,3.0,62.01,0
326,0,0,8.7,0,0,3,2.35,51.84,0
327,0,0,12.4,5,0,5,3.35,63.92,0
328,0,0,9.4,2,0,3,2.54,65.25,0
329,0,0,7.8,0,0,4,2.11,51.77,0
330,0,0,8.5,1,0,4,2.3,52.66,0
331,1,31,12.0,1,0,1,3.24,52.62,0
332,0,0,10.6,0,0,3,2.86,60.67,0
333,1,26,9.9,1,0,2,2.67,51.23,0
334,0,0,11.2,1,0,6,3.02,62.0,0
335,0,0,7.5,4,0,3,2.03,62.84,0
336,0,0,9.3,0,1,5,2.51,70.06,0
337,0,0,6.8,0,0,7,1.84,47.11,0
338,0,0,10.3,1,1,3,2.78,51.86,0
339,0,0,4.8,2,0,4,1.3,57.51,0
340,0,0,8.4,2,0,5,2.27,53.81,0
341,0,0,10.4,2,0,6,2.81,43.66,0
342,0,0,5.4,0,0,1,1.46,73.83,0
343,0,0,7.0,3,0,5,1.89,70.93,0
344,0,0,10.0,0,0,3,2.7,51.93,0
345,0,0,9.8,0,0,2,2.65,67.72,0
346,1,34,16.0,1,0,6,4.32,55.84,0
347,0,0,7.5,2,0,6,2.03,70.69,0
348,1,28,9.3,2,0,11,2.51,67.88,0
349,0,0,15.3,1,0,1,4.13,66.76,0
350,0,0,12.5,0,0,3,3.38,70.97,0
351,1,45,10.3,3,0,2,2.78,68.87,0
352,1,16,11.3,1,0,3,3.05,60.79,0
353,0,0,10.9,1,1,4,2.94,60.73,0
354,0,0,12.5,1,0,7,3.38,41.94,0
355,1,40,9.6,1,0,9,2.59,48.59,0
356,0,0,11.2,3,0,5,3.02,58.61,0
357,0,0,12.4,2,0,7,3.35,56.53,0
358,0,0,11.4,1,0,4,3.08,65.56,0
359,0,0,12.8,1,0,2,3.46,71.98,0
360,0,0,11.8,2,0,5,3.19,51.44,0
361,1,31,8.6,0,0,3,2.32,77.86,0
362,1,29,11.2,1,0,3,3.02,61.39,0
363,0,0,8.0,1,0,3,2.16,69.78,0
364,0,0,13.5,1,0,3,3.65,66.62,0
365,0,0,6.3,2,0,2,1.7,53.53,0
366,1,27,12.3,1,0,6,3.32,73.95,0
367,0,0,12.4,0,0,4,3.35,58.89,0
368,1,29,6.8,1,0,3,1.84,49.19,0
369,0,0,12.6,1,0,5,3.4,68.27,0
370,0,0,9.6,2,1,7,2.59,63.08,0
371,0,0,11.1,0,0,6,3.0,44.35,0
372,0,0,9.6,3,0,4,2.59,54.22,0
373,0,0,6.9,2,0,5,1.86,70.7,0
374,0,0,12.2,1,0,3,3.29,45.18,0
375,1,21,6.3,4,0,3,1.7,71.67,0
376,0,0,12.5,0,0,5,3.38,57.27,0
377,1,23,9.8,0,0,2,2.65,72.99,0
378,0,0,8.3,0,0,3,2.24,60.12,0
379,1,20,14.3,1,0,9,3.86,69.54,0
380,0,0,9.3,2,0,2,2.51,44.6,0
381,0,0,9.7,2,0,7,2.62,57.44,0
382,1,28,6.0,3,0,3,1.62,60.84,0
383,0,0,11.0,0,0,3,2.97,51.4,0
384,0,0,9.6,1,0,5,2.59,72.0,0
385,0,0,9.6,3,0,9,2.59,60.63,0
386,1,18,10.1,1,0,5,2.73,39.39,0
387,0,0,5.9,0,0,2,1.59,53.54,0
388,1,23,8.5,0,0,5,2.3,66.18,0
389,0,0,11.6,1,0,4,3.13,60.74,0
390,1,32,11.1,3,0,5,3.0,40.24,0
391,1,34,17.2,2,0,9,4.64,66.57,0
392,0,0,10.6,1,0,2,2.86,68.53,0
393,0,0,9.5,3,0,6,2.57,44.38,0
394,0,0,6.3,1,0,3,1.7,33.22,0
395,1,20,14.8,0,0,12,4.0,67.79,0
396,0,0,9.9,3,0,6,2.67,53.38,0
397,0,0,11.7,1,0,5,3.16,70.89,0
398,1,23,7.6,3,0,2,2.05,51.22,0
399,0,0,8.1,1,0,2,2.19,54.89,0
400,0,0,11.2,2,0,4,3.02,61.05,0
401,0,0,11.6,1,0,6,3.13,60.59,0
402,0,0,5.3,1,0,3,1.43,54.54,0
403,0,0,8.1,0,0,4,2.19,55.0,0
404,0,0,13.3,2,0,13,3.59,60.41,0
405,0,0,11.0,3,0,2,2.97,70.5,0
406,1,16,6.7,0,0,2,1.81,44.38,0
407,0,0,12.8,0,1,3,3.46,68.66,0
408,0,0,10.5,0,0,2,2.84,73.41,0
409,0,0,12.3,1,0,4,3.32,56.86,0
410,0,0,12.8,0,0,7,3.46,73.03,0
411,1,33,5.9,2,0,2,1.59,57.46,0
412,0,0,8.2,1,0,4,2.21,69.74,0
413,0,0,11.1,2,1,9,3.0,52.95,0
414,1,36,8.0,2,0,4,2.16,53.43,0
415,0,0,11.9,2,0,3,3.21,65.94,0
416,0,0,7.5,1,0,2,2.03,55.99,0
417,1,23,12.6,3,0,7,3.4,49.83,0
418,1,28,7.5,1,0,5,2.03,75.24,0
419,1,26,9.3,0,1,3,2.51,64.43,0
420,0,0,12.4,0,0,12,3.35,63.45,0
421,0,0,11.1,1,0,5,3.0,52.57,0
422,1,31,11.4,2,0,5,3.08,57.77,0
423,1,24,11.6,1,0,5,3.13,64.29,0
424,1,17,12.3,1,0,3,3.32,50.88,0
425,0,0,14.8,3,0,8,4.0,68.03,0
426,0,0,9.1,2,0,8,2.46,60.09,0
427,1,30,6.6,0,0,3,1.78,67.13,0
428,1,14,17.5,1,0,5,4.73,43.63,0
429,0,0,7.6,2,0,1,2.05,53.06,0
430,0,0,9.4,2,0,4,2.54,58.07,0
431,0,0,12.9,1,0,3,3.48,58.8,0
432,0,0,9.0,3,0,3,2.43,55.1,0
433,0,0,11.6,1,0,2,3.13,66.59,0
434,1,27,9.2,7,0,5,2.48,73.66,0
435,0,0,9.8,2,0,6,2.65,30.04,0
436,0,0,13.0,1,0,6,3.51,60.47,0
437,0,0,10.5,2,0,8,2.84,32.5,0
438,0,0,12.5,0,0,3,3.38,66.18,0
439,0,0,8.6,2,0,4,2.32,45.88,0
440,1,37,7.8,2,0,4,2.11,57.61,0
441,0,0,6.7,2,0,3,1.81,58.64,0
442,1,38,10.7,2,0,5,2.89,70.08,0
443,1,40,14.0,1,0,6,3.78,54.12,0
444,1,22,8.5,0,0,3,2.3,51.61,0
445,0,0,12.4,0,0,8,3.35,66.5,0
446,0,0,9.9,2,0,3,2.67,49.2,0
447,1,28,7.8,1,0,2,2.11,45.52,0
448,1,29,6.6,0,0,1,1.78,57.28,0
449,0,0,3.5,3,0,6,0.95,67.84,0
450,1,27,11.9,1,0,3,3.21,58.45,0
451,1,31,10.1,4,0,5,2.73,69.37,0
452,0,0,11.5,2,0,2,3.11,63.59,0
453,0,0,12.7,2,0,6,3.43,57.46,0
454,1,25,13.1,2,0,2,3.54,54.71,0
455,0,0,12.0,0,0,4,3.24,66.39,0
456,1,20,9.5,1,0,2,2.57,64.45,0
457,0,0,7.7,2,0,6,2.08,49.98,0
458,0,0,10.7,1,0,1,2.89,61.37,0
459,1,18,7.2,0,0,7,1.94,61.29,0
460,1,28,9.1,1,0,5,2.46,66.81,0
461,0,0,10.9,1,0,5,2.94,46.44,0
462,1,29,8.0,2,0,1,2.16,73.46,0
463,0,0,4.7,3,0,4,1.27,58.75,0
464,1,37,11.3,2,0,5,3.05,57.97,0
465,0,0,3.6,2,1,7,0.97,60.31,0
466,0,0,10.0,2,0,6,2.7,72.64,0
467,0,0,10.3,1,0,2,2.78,58.8,0
468,0,0,10.8,1,1,3,2.92,43.13,0
469,1,31,9.0,3,0,1,2.43,69.93,0
470,1,36,14.2,1,0,2,3.83,81.8,0
471,0,0,13.7,3,0,6,3.7,67.09,0
472,0,0,11.7,2,0,4,3.16,50.23,0
473,1,30,7.7,1,0,3,2.08,59.33,0
474,1,21,16.5,1,0,4,4.46,73.1,0
475,1,25,10.2,3,0,3,2.75,63.05,0
476,0,0,10.7,1,0,8,2.89,51.61,0
477,0,0,10.3,1,0,2,2.78,58.8,0
478,0,0,10.2,1,0,5,2.75,35.18,0
479,0,0,8.4,1,1,4,2.27,67.01,0
480,0,0,7.4,1,0,8,2.0,43.91,0
481,1,14,8.6,1,0,2,2.32,40.09,0
482,0,0,11.3,2,0,4,3.05,72.89,0
483,0,0,12.9,1,0,2,3.48,50.74,0
484,0,0,9.6,2,0,1,2.59,49.82,0
485,1,29,9.5,2,0,5,2.57,67.01,0
486,0,0,12.5,2,0,6,3.38,64.25,0
487,0,0,9.6,3,0,4,2.59,49.18,0
488,0,0,9.1,2,0,5,2.46,49.04,0
489,0,0,12.3,1,0,5,3.32,52.16,0
490,1,46,9.2,0,0,6,2.48,67.07,0
491,0,0,9.1,2,0,4,2.46,48.48,0
492,0,0,4.6,1,0,4,1.24,56.29,0
493,0,0,11.6,3,0,6,3.13,46.47,0
494,0,0,11.4,1,0,7,3.08,58.74,0
495,0,0,13.1,0,0,8,3.54,57.67,0
496,1,29,6.6,1,0,8,1.78,46.86,0
497,0,0,10.6,0,0,5,2.86,65.32,0
498,0,0,8.7,3,0,3,2.35,56.77,0
499,0,0,11.6,3,0,7,3.13,67.45,0
500,0,0,12.7,1,0,3,3.43,62.93,0
501,0,0,7.7,4,0,6,2.08,57.32,0
502,1,37,7.3,2,0,1,1.97,70.11,0
503,1,43,8.0,1,0,5,2.16,58.91,0
504,0,0,14.0,3,0,6,3.78,59.41,0
505,0,0,11.6,1,0,6,3.13,55.92,0
506,0,0,12.8,1,0,4,3.46,64.54,0
507,0,0,11.5,1,0,3,3.11,43.21,0
508,1,33,10.6,2,0,3,2.86,56.42,0
509,0,0,7.1,3,0,1,1.92,62.94,0
510,0,0,5.1,0,0,2,1.38,58.78,0
511,0,0,13.8,3,0,4,3.73,54.02,0
512,0,0,7.4,4,0,2,2.0,70.43,0
513,0,0,6.5,1,0,5,1.76,46.26,0
514,0,0,13.9,0,0,4,3.75,61.53,0
515,0,0,9.5,0,0,2,2.57,47.97,0
516,1,22,4.8,3,0,4,1.3,48.07,0
517,1,34,15.6,2,0,4,4.21,46.62,0
518,0,0,10.8,2,0,6,2.92,66.03,0
519,1,27,10.2,5,0,7,2.75,56.88,0
520,0,0,9.2,1,0,15,2.48,52.48,0
521,1,19,7.5,0,0,3,2.03,54.17,0
522,1,31,12.9,1,0,1,3.48,72.8,0
523,0,0,11.4,0,0,2,3.08,45.81,0
524,0,0,7.9,2,0,4,2.13,53.62,0
525,0,0,9.8,1,0,3,2.65,57.0,0
526,0,0,11.0,0,0,13,2.97,62.14,0
527,0,0,15.6,0,0,7,4.21,73.88,0
528,1,24,14.0,1,0,4,3.78,67.08,0
529,1,22,8.5,3,0,4,2.3,67.54,0
530,1,28,15.4,0,0,9,4.16,71.24,0
531,0,0,7.5,1,0,5,2.03,52.52,0
532,0,0,11.5,2,0,4,3.11,69.65,0
533,0,0,9.5,1,0,6,2.57,64.36,0
